,Title,Genre,DomesticBox_Office,Month,Year
555,Can You Ever Forgive Me?,Drama,8803865,10,2018
556,The Lost City of Z,Action,8574339,4,2017
557,Serenity,Thriller/Suspense,8547045,1,2019
558,The War with Grandpa,Comedy,8391047,10,2020
559,Downhill,Drama,8287061,2,2020
560,Early Man,Adventure,8267544,2,2018
561,The Promise,Drama,8224288,4,2017
562,A Cure for Wellness,Thriller/Suspense,8106986,2,2017
563,The Death of Stalin,Black Comedy,8047856,3,2018
564,Robinson Crusoe,Adventure,8005586,9,2016
565,Sanju,Drama,7909317,6,2018
566,A Beautiful Planet,Documentary,7895708,4,2016
567,The Space Between Us,Drama,7885294,2,2017
568,Tenki no Ko,Drama,7798703,1,2020
569,Anna,Action,7743794,6,2019
570,Loving,Drama,7710234,11,2016
571,Penguins,Documentary,7699452,4,2019
572,Unsane,Thriller/Suspense,7690044,3,2018
573,Beautiful Boy,Drama,7634767,10,2018
574,Pandas,Documentary,7574012,4,2018
575,Mid90s,Drama,7362439,10,2018
576,Let There Be Light,Drama,7233471,10,2017
577,Gold,Drama,7227038,1,2017
578,Brittany Runs a Marathon,Drama,7136342,8,2019
579,I Am Not Your Negro,Documentary,7123919,2,2017
580,Beatriz at Dinner,Drama,7115854,6,2017
581,Silence,Drama,7100177,12,2016
582,Birth of the Dragon,Action,6901965,8,2017
583,Shut In,Thriller/Suspense,6900335,11,2016
584,The Brothers Grimsby,Comedy,6864016,3,2016
585,Dog Days,Romantic Comedy,6809080,8,2018
586,Boy Erased,Drama,6788692,11,2018
587,The Dead Donât Die,Horror,6782066,6,2019
588,Loving Vincent,Drama,6735118,9,2017
589,Hotel Artemis,Thriller/Suspense,6708137,6,2018
590,The Snowman,Thriller/Suspense,6670765,10,2017
591,Jexi,Comedy,6546159,10,2019
592,A.X.L.,Drama,6501381,8,2018
593,The Young Messiah,Drama,6469813,3,2016
594,Run the Race,Drama,6424420,2,2019
595,Same Kind of Different as Me,Drama,6423605,10,2017
596,Fahrenheit 11/9,Documentary,6352306,9,2018
597,Southside with You,Drama,6304223,8,2016
598,Unbroken: Path to Redemption,Drama,6216897,9,2018
599,Lowriders,Drama,6179955,5,2017
600,Maudie,Drama,6170998,4,2017
601,The Hurricane Heist,Thriller/Suspense,6115824,3,2018
602,Every Day,Drama,6112914,2,2018
603,Just Getting Started,Comedy,6069605,12,2017
604,Leave No Trace,Drama,6046104,6,2018
605,The Current War: Directorâs Cut,Drama,5978673,10,2019
606,Captive State,Thriller/Suspense,5958315,3,2019
607,The Florida Project,Drama,5904366,10,2017
608,Death of a Nation,Documentary,5885881,8,2018
609,Captain Fantastic,Drama,5879835,7,2016
610,Liu Lang Di Qiu,Action,5875487,2,2019
611,Honest Thief,Thriller/Suspense,5846274,10,2020
612,The Hunt,Thriller/Suspense,5812500,3,2020
613,All Saints,Drama,5802208,8,2017
614,Arctic Dogs,Adventure,5801249,11,2019
615,Suburbicon,Black Comedy,5775178,10,2017
616,Godâs Not Dead: A Light in Darkness,Drama,5728940,3,2018
617,Kin,Action,5718096,8,2018
618,The Man Who Invented Christmas,Adventure,5676110,11,2017
619,20th Century Women,Drama,5664763,12,2016
620,Gloria Bell,Drama,5611123,3,2019
621,Paris Can Wait,Romantic Comedy,5608745,5,2017
622,Sultan,Action,5599781,7,2016
623,Tiger Zinda Hai,Action,5560921,12,2017
624,Stan & Ollie,Drama,5470235,12,2018
625,The Rhythm Section,Thriller/Suspense,5437971,1,2020
626,Boku no Hero Academia the Movie,Adventure,5427591,9,2018
627,The Mustang,Drama,5336840,3,2019
628,The Goldfinch,Drama,5332621,9,2019
629,Donât Let Go,Thriller/Suspense,5215062,8,2019
630,Hunt for the Wilderpeople,Comedy,5205471,6,2016
631,Colette,Drama,5126985,9,2018
632,Simmba,Action,5102129,12,2018
633,Bleed for This,Drama,5083906,11,2016
634,Action Point,Comedy,5059608,6,2018
635,Beirut,Action,5019226,4,2018
636,Kimi no na wa,Drama,5000181,4,2017
637,Gringo,Black Comedy,4969853,3,2018
638,The Sun is Also a Star,Drama,4950029,5,2019
639,Bring the Soul: The Movie,Documentary,4809800,8,2019
640,Incarnate,Horror,4799774,12,2016
641,Absolutely Fabulous: The Movie,Comedy,4772155,7,2016
642,The SpongeBob Movie: Sponge on the Run,Adventure,4730385,8,2020
643,Samson,Drama,4719928,2,2018
644,Hands of Stone,Drama,4712792,8,2016
645,Pavarotti,Documentary,4686402,6,2019
646,Jay and Silent Bob Reboot,Comedy,4589490,10,2019
647,Zimna wojna,Drama,4580048,12,2018
648,Dolor y gloria,Drama,4567338,10,2019
649,Tolkien,Drama,4535154,5,2019
650,The Last Black Man in San Francisco,Drama,4515719,6,2019
651,Amazing Grace,Documentary,4450454,4,2019
652,Donât Think Twice,Comedy,4417983,7,2016
653,Johnny English Strikes Again,Comedy,4412170,10,2018
654,Brian Banks,Drama,4376820,8,2019
655,The Biggest Little Farm,Documentary,4367816,5,2019
656,Blindspotting,Drama,4333394,7,2018
657,The Book of Henry,Drama,4288104,6,2017
658,Gotti,Drama,4286367,6,2018
659,The Meddler,Comedy,4267219,4,2016
660,Ae Dil Hai Mushkil,Drama,4264983,10,2016
661,Linda Ronstadt: The Sound of My Voice,Documentary,4252657,9,2019
662,Gully Boy,Adventure,4216437,2,2019
663,A Hologram for the King,Drama,4212494,4,2016
664,Stronger,Drama,4211129,9,2017
665,Swiss Army Man,Drama,4210454,6,2016
666,Uri: The Surgical Strike,Action,4185663,1,2019
667,Ya Veremos,Drama,4165949,8,2018
668,Life Itself,Drama,4095431,9,2018
669,The Hero,Drama,4077333,6,2017
670,Denial,Drama,4073448,9,2016
671,Replicas,Thriller/Suspense,4046429,1,2019
672,The Broken Hearts Gallery,Romantic Comedy,4018220,9,2020
673,Infidel,Thriller/Suspense,4003872,9,2020
674,Yip Man 4,Action,3956031,12,2019
675,Sleight,Action,3930990,4,2017
676,Morgan,Thriller/Suspense,3915251,9,2016
677,Kabali,Action,3903095,7,2016
678,A United Kingdom,Drama,3902185,2,2017
679,The Man Who Knew Infinity,Drama,3877922,4,2016
680,Where to Invade Next,Documentary,3827261,2,2016
681,Max Steel,Action,3818664,10,2016
682,Norman: The Moderate Rise and Tragic …,Drama,3814868,4,2017
683,Batman: The Killing Joke,Action,3775000,7,2016
684,Portrait de la jeune fille en feu,Drama,3759854,2,2020
685,Friend Request,Thriller/Suspense,3759078,9,2017
686,A Monster Calls,Drama,3740823,1,2017
687,Midnight Special,Drama,3712282,3,2016
688,Ben is Back,Drama,3703182,12,2018
689,Ne Zha Zhi Mo Tong Jiang Shi,Adventure,3695533,8,2019
690,Gosnell: The Trial of Americaâs Big…,Drama,3679893,10,2018
691,Mission Mangal,Drama,3660413,8,2019
692,Rules Donât Apply,Romantic Comedy,3652206,11,2016
693,War,Action,3640355,10,2019
694,Table 19,Comedy,3614896,3,2017
695,Their Finest,Romantic Comedy,3603484,4,2017
696,Phoenix Forgotten,Horror,3600146,4,2017
697,2019 Oscar Shorts,Multiple Genres,3531093,2,2019
698,Indivisible,Drama,3511417,10,2018
699,2018 Oscar Shorts,Multiple Genres,3508777,2,2018
700,The Beach Bum,Comedy,3502600,3,2019
701,Miss Sloane,Drama,3500605,11,2016
702,An Inconvenient Sequel,Documentary,3496795,7,2017
703,Disobedience,Drama,3480702,4,2018
704,En man som heter Ove,Comedy,3479315,9,2016
705,First Reformed,Thriller/Suspense,3448256,5,2018
706,"Juliet, Naked",Romantic Comedy,3444895,8,2018
707,Bill & Ted Face the Music,Comedy,3439660,8,2020
708,Bad Samaritan,Thriller/Suspense,3424744,5,2018
709,Til Death Do Us Part,Thriller/Suspense,3424454,9,2017
710,Indignation,Drama,3401155,7,2016
711,Everybody Wants Some,Comedy,3400278,3,2016
712,Echo in the Canyon,Documentary,3355266,5,2019
713,Maggieâs Plan,Comedy,3351735,5,2016
714,Manbiki kazoku,Drama,3313513,11,2018
715,2020 Oscar Shorts,Multiple Genres,3304748,1,2020
716,Sing Street,Musical,3237118,4,2016
717,Mei Ren Yu,Romantic Comedy,3229457,2,2016
718,The Leisure Seeker,Drama,3224126,3,2018
719,Green Room,Horror,3220371,4,2016
720,Colossal,Drama,3194575,4,2017
721,7 Days in Entebbe,Thriller/Suspense,3189220,3,2018
722,The Eagle Huntress,Documentary,3168664,11,2016
723,Maiden,Documentary,3162490,6,2019
724,Our Kind of Traitor,Thriller/Suspense,3153157,7,2016
725,The Sisters Brothers,Western,3143056,9,2018
726,Compadres,Comedy,3127773,4,2016
727,Thoroughbreds,Drama,3072605,3,2018
728,Sgt. Stubby: An American Hero,Adventure,3054285,4,2018
729,Whitney,Documentary,3026558,7,2018
730,Ingrid Goes West,Black Comedy,3021133,8,2017
731,Honey Boy,Drama,3012615,11,2019
732,The Other Side of the Door,Horror,3000342,3,2016
733,Las Pildoras De Mi Novio,Romantic Comedy,2971116,2,2020
734,Anthropoid,Thriller/Suspense,2963630,8,2016
735,The Last Full Measure,Drama,2949212,1,2020
736,The Beatles: Eight Days a Week,Documentary,2934445,9,2016
737,Friends 25th: The One With the Annive…,Comedy,2884827,9,2019
738,American Animals,Thriller/Suspense,2853526,6,2018
739,God Bless the Broken Road,Drama,2846258,9,2018
740,2017 Oscar Shorts,Multiple Genres,2835355,2,2017
741,KEDi,Documentary,2834262,2,2017
742,2016 Oscar Shorts,Multiple Genres,2816816,1,2016
743,La Boda de Valentina,Romantic Comedy,2783739,2,2018
744,Kalank,Drama,2729336,4,2019
745,Zhan Lang 2,Action,2721100,7,2017
746,My Cousin Rachel,Drama,2716368,6,2017
747,Bharat,Action,2684911,6,2019
748,Yip Man 3,Action,2679437,1,2016
749,Todos lo saben,Drama,2677805,2,2019
750,Tod@s Caen,Romantic Comedy,2670925,8,2019
751,Bharat Ane Nenu,Thriller/Suspense,2663090,4,2018
752,Saaho,Action,2626284,8,2019
753,Mayweather vs. McGregor,Concert/Performance,2620183,8,2017
754,Miles Ahead,Drama,2610896,4,2016
755,Kapoor & Sons,Comedy,2607036,3,2016
756,A Question of Faith,Drama,2587072,9,2017
757,Is Genesis History?,Documentary,2570355,2,2017
758,Hazlo Como Hombre,Comedy,2534252,9,2017
759,Words on Bathroom Walls,Drama,2532478,8,2020
760,You Were Never Really Here,Drama,2523610,4,2018
761,Suspiria,Horror,2483472,10,2018
762,LBJ,Drama,2468683,11,2017
763,Tulip Fever,Drama,2455635,9,2017
764,The Disappointments Room,Horror,2423467,9,2016
765,The Rider,Drama,2418679,4,2018
766,Meari to majo no hana,Adventure,2418404,1,2018
767,The Art of Self-Defense,Comedy,2410914,7,2019
768,Arctic,Drama,2409826,2,2019
769,Forushande,Drama,2402067,1,2017
770,T2: Trainspotting,Drama,2402004,3,2017
771,Hillsong: Let Hope Rise,Documentary,2394725,9,2016
772,Hearts Beat Loud,Drama,2386254,6,2018
773,Dear Zindagi,Drama,2376479,11,2016
774,Raees,Action,2369469,1,2017
775,Elle,Drama,2339735,11,2016
776,Papillon,Drama,2335896,8,2018
777,Wo he wo de zu guo,Drama,2323409,10,2019
778,Promare,Adventure,2313595,9,2019
779,A Aa,Romantic Comedy,2313043,6,2016
780,The Resurrection of Gavin Stone,Comedy,2303792,1,2017
781,At Eternityâs Gate,Drama,2294917,11,2018
782,The Killing of a Sacred Deer,Horror,2291900,10,2017
783,Collide,Action,2280004,2,2017
784,Super 30,Drama,2269878,7,2019
785,Jeepers Creepers 3,Horror,2235162,9,2017
786,The Lovers,Romantic Comedy,2194521,5,2017
787,La chute de lâempire amÃ©ricain,Comedy,2178148,5,2019
788,Total Dhamaal,Comedy,2167632,2,2019
789,Un Padre No Tan Padre,Comedy,2156047,1,2017
790,Paterson,Comedy,2141423,12,2016
791,The Lodge,Horror,2138907,2,2020
792,Bradâs Status,Comedy,2133158,9,2017
793,Busanhaeng,Horror,2129768,7,2016
794,Housefull 4,Romantic Comedy,2109160,10,2019
795,Iâm Not Ashamed,Drama,2082980,10,2016
796,Puzzle,Drama,2031242,7,2018
797,Good Time,Drama,2026498,8,2017
798,A Bigger Splash,Drama,2024099,5,2016
799,The Dressmaker,Drama,2022115,9,2016
800,Una mujer fantÃ¡stica,Drama,2019554,2,2018
801,Luce,Thriller/Suspense,2010613,8,2019
802,Pope FrancisâA Man of His Word,Documentary,2008385,5,2018
803,A Ga ssi,Drama,2006788,10,2016
804,Assassination Nation,Thriller/Suspense,2005142,9,2018
805,Chhichhore,Comedy,2004400,9,2019
806,Desierto,Thriller/Suspense,2002036,10,2016
807,Greater,Drama,2000093,8,2016
808,Official Secrets,Thriller/Suspense,1996766,8,2019
809,The Front Runner,Drama,1994179,11,2018
810,Badrinath Ki Dulhania,Comedy,1993259,3,2017
811,Tang Ren Jie Tan An 2,Action,1983984,2,2018
812,Demolition,Drama,1978592,4,2016
813,Shao Nian De Ni,Drama,1921657,11,2019
814,Todos Queremos a Alguien,Romantic Comedy,1915789,2,2017
815,Along With The Gods: The Two Worlds,Action,1908822,12,2017
816,Shin Godjira,Action,1908028,10,2016
817,Fang Hua,Drama,1891956,12,2017
818,The Personal History of David Copperf…,Drama,1876298,8,2020
819,A Quiet Passion,Drama,1865396,4,2017
820,Badla,Thriller/Suspense,1861000,3,2019
821,The White Crow,Drama,1827604,4,2019
822,The Wretched,Horror,1815440,5,2020
823,The Other Side of Heaven 2: Fire of F…,Drama,1807116,6,2019
824,The Wall,Thriller/Suspense,1803064,5,2017
825,M.S. Dhoni: The Untold Story,Drama,1801550,9,2016
826,Free Fire,Action,1799322,4,2017
827,The Last Word,Drama,1779620,3,2017
828,The Met: Live in HD - Manon Lescaut,Concert/Performance,1770000,3,2016
829,Busco Novio Para Mi Mujer,Romantic Comedy,1741889,2,2016
830,Billy Lynnâs Long Halftime Walk,Drama,1738477,11,2016
831,Goodbye Christopher Robin,Drama,1735251,10,2017
832,A Hidden Life,Drama,1730597,12,2019
833,The Harry Potter IMAX Marathon,Adventure,1729226,10,2016
834,Jane,Documentary,1723379,10,2017
835,Menashe,Drama,1702996,7,2017
836,The Met: Live in HD - Madama Butterfly,Concert/Performance,1700900,4,2016
837,Race 3,Action,1690861,6,2018
838,Fan,Thriller/Suspense,1689879,4,2016
839,Slamma Jamma,Drama,1687000,3,2017
840,Weiner,Documentary,1675196,5,2016
841,Padman,Comedy,1662927,2,2018
842,CafarnaÃºm,Drama,1660708,12,2018
843,Waves,Musical,1658790,11,2019
844,The Comedian,Comedy,1658706,2,2017
845,Jolly LLB 2,Black Comedy,1654254,2,2017
846,The Little Hours,Black Comedy,1647175,6,2017
847,I Saw the Light,Drama,1646788,3,2016
848,The Rental,Thriller/Suspense,1637548,7,2020
849,Wild Rose,Drama,1635118,6,2019
850,A Private War,Drama,1633209,11,2018
851,The Aftermath,Drama,1618497,3,2019
852,Equity,Drama,1605463,7,2016
853,A Ghost Story,Drama,1594798,7,2017
854,The Bookshop,Drama,1588150,8,2018
855,Neerja,Drama,1585687,2,2016
856,Professor Marston & The Wonder Women,Drama,1585362,10,2017
857,Western Stars,Documentary,1581681,10,2019
858,Red Joan,Drama,1580223,4,2019
859,The Stray,Multiple Genres,1579440,10,2017
860,Fantastic Fungi,Documentary,1573734,9,2019
861,After the Wedding,Drama,1573276,8,2019
862,Geukhanjikeob,Action,1565885,1,2019
863,Hong Hai Xing Dong,Action,1543547,2,2018
864,Destroyer,Thriller/Suspense,1533324,12,2018
865,Taeksi Woonjunsa,Drama,1527829,8,2017
866,Inhumans,Action,1521787,9,2017
867,Jane Got a Gun,Western,1513793,1,2016
868,The Kid,Western,1508593,3,2019
869,The Square,Drama,1502347,10,2017
870,Priceless,Drama,1499605,10,2016
871,Julieta,Drama,1489848,12,2016
872,Toni Erdmann,Comedy,1478960,12,2016
873,Thugs of Hindostan,Action,1449848,11,2018
874,"Donât Worry, He Wonât Get Far on …",Drama,1441705,7,2018
875,Judwaa 2,Action,1431255,9,2017
876,Finding Your Feet,Comedy,1418682,3,2018
877,Laavor et hakir,Action,1412404,5,2017
878,Wonder Wheel,Drama,1403237,12,2017
879,Little Women,Drama,1379497,9,2018
880,My Friend Dahmer,Drama,1361611,11,2017
881,Genius,Drama,1361045,6,2016
882,102 Not Out,Comedy,1339909,5,2018
883,The Neon Demon,Horror,1333124,6,2016
884,El abrazo de la serpiente,Drama,1329249,2,2016
885,Housefull 3,Romantic Comedy,1326999,6,2016
886,The Dinner,Drama,1323312,5,2017
887,Baaghi 2,Action,1319579,3,2018
888,The Little Prince,Adventure,1311213,2,2016
889,Personal Shopper,Thriller/Suspense,1305195,3,2017
890,Werk ohne Autor,Thriller/Suspense,1303747,11,2018
891,No Safe Spaces,Documentary,1291514,12,2019
892,Jab Harry Met Sejal,Romantic Comedy,1284740,8,2017
893,Churchill,Drama,1279681,6,2017
894,The Sense of an Ending,Drama,1274420,3,2017
895,Maria by Callas,Documentary,1264409,11,2018
896,Mohenjo Daro,Action,1264339,8,2016
897,McQueen,Documentary,1257275,7,2018
898,The Seagull,Drama,1252960,5,2018
899,3 Idiotas,Comedy,1249233,6,2017
900,The Hows of Us,Drama,1246444,9,2018
901,High Life,Adventure,1225852,4,2019
902,Mandy,Thriller/Suspense,1214525,9,2018
903,Beautifully Broken,Drama,1209645,8,2018
904,Ban-do,Horror,1207873,8,2020
905,Ismach Hatani,Comedy,1200885,3,2017
906,Singwa Hamgge: Ingwa Yeon,Action,1200246,8,2018
907,After We Collided,Drama,1199425,9,2020
908,All is True,Drama,1199066,5,2019
909,Andhadhun,Multiple Genres,1193049,10,2018
910,Lazer Team,Comedy,1186426,1,2016
911,Ek Ladki Ko Dekhah Toh Aisa Laga,Romantic Comedy,1182636,2,2019
912,The Music of Strangers: Yo-Yo Ma and …,Documentary,1169214,6,2016
913,Vaxxed: From Cover Up to Catastrophe,Documentary,1163265,4,2016
914,Lean on Pete,Drama,1163056,4,2018
915,The Trip to Spain,Comedy,1157604,8,2017
916,Met Opera â Agrippina,Concert/Performance,1150000,2,2020
917,Dough,Comedy,1148304,2,2016
918,Step,Documentary,1146292,8,2017
919,Lady Macbeth,Drama,1129408,7,2017
920,Papa: Hemingway in Cuba,Drama,1115615,4,2016
921,PLAYMOBIL,Adventure,1115008,12,2019
922,Viceroyâs House,Drama,1105717,9,2017
923,Gunhamdo,Drama,1104957,8,2017
924,The Assistant,Drama,1100310,1,2020
925,The Song of Names,Drama,1077584,12,2019
926,Merci pour tout,Comedy,1070470,12,2019
927,Certain Women,Drama,1068054,10,2016
928,Les Innocentes,Drama,1065665,7,2016
929,Elvis & Nixon,Drama,1055284,4,2016
930,Wildlife,Drama,1050616,10,2018
931,Relic,Thriller/Suspense,1047083,7,2020
932,The Dawn Wall,Documentary,1037023,9,2018
933,Wonderstruck,Drama,1033632,10,2017
934,The Souvenir,Drama,1030502,5,2019
935,Film Stars Donât Die in Liverpool,Drama,1024266,12,2017
936,Operation Chromite,Action,1022720,8,2016
937,Columbus,Drama,1017107,8,2017
938,The Hollars,Drama,1016985,8,2016
939,Perfectos desconocidos,Comedy,1014507,1,2019
940,Golmaal Again,Musical,1013893,10,2017
941,Marianne & Leonard: Words of Love,Documentary,1013820,7,2019
942,Raid,Drama,1010385,3,2018
943,1945,Drama,1005719,11,2017
944,Becky,Thriller/Suspense,1002852,6,2020
945,Lâinsulte,Drama,1000038,1,2018
946,Beureikeu deo sa illeonseu,Documentary,1000000,9,2020
947,Baar Baar Dekho,Drama,981947,9,2016
948,Last Flag Flying,Comedy,965481,11,2017
949,RUSH: Cinema Strangiato 2019,Concert/Performance,958907,8,2019
950,Lucky,Drama,955925,9,2017
951,The Fighting Preacher,Drama,955781,7,2019
952,Visages villages,Documentary,952432,10,2017
953,The Tax Collector,Action,942666,8,2020
954,Landline,Comedy,940854,7,2017
955,Dark Horse,Documentary,940715,5,2016
956,Neruda,Drama,939099,12,2016
957,Tubelight,Adventure,930058,6,2017
958,La Tortue Rouge,Adventure,920057,1,2017
959,Metallica & San Francisco Symphony S&M2,Concert/Performance,907163,10,2019
960,The Miseducation of Cameron Post,Drama,905111,8,2018
961,Toni Morrison: The Pieces I Am,Documentary,903018,6,2019
962,Gentleman,Thriller/Suspense,897876,6,2016
963,Kedarnath,Drama,893582,12,2018
964,Un beau soleil intÃ©rieur,Romantic Comedy,892421,4,2018
965,Believe,Drama,890303,12,2016
966,Nothing Like a Dame,Documentary,889343,9,2018
967,Frantz,Drama,880883,3,2017
968,Xi You Fu Yao Pian,Action,880346,2,2017
969,Rustom,Drama,880000,8,2016
970,The Cakemaker,Drama,874584,6,2018
971,Met Opera: Wozzeck,Concert/Performance,863000,1,2020
972,Jagga Jasoos,Adventure,861740,7,2017
973,Ki & Ka,Comedy,857986,4,2016
974,Cut Throat City,Drama,850685,7,2020
975,Jesus is King,Musical,850000,10,2019
976,Kona fer Ã­ strÃ­Ã°,Action,847495,3,2019
977,Qian Ren 3: Yan Zhi Da Zuo Zhan,Comedy,837791,12,2017
978,Premam,Comedy,825602,10,2016
979,Sarileru Neekevvaru,Action,821000,1,2020
980,Bombshell: The Hedy Lamarr Story,Documentary,820300,11,2017
981,Climax,Drama,817339,3,2019
982,Transit,Drama,815290,3,2019
983,Honeyland,Documentary,815082,7,2019
984,Between Me and My Mind,Documentary,813844,7,2019
985,Mirai no Mirai,Adventure,812794,11,2018
986,Dishoom,Action,812737,7,2016
987,Beast,Drama,800365,5,2018
988,Patti Cake$,Comedy,800148,8,2017
989,Operation Mekong,Action,800012,9,2016
990,Sui Dhaaga: Made in India,Romantic Comedy,790628,9,2018
991,Goksung,Thriller/Suspense,786633,5,2016
992,2 Hearts,Drama,779821,10,2020
993,31,Horror,779820,10,2016
994,Student of the Year 2,Romantic Comedy,778566,5,2019
995,Chongqing Hot Pot,Comedy,776649,4,2016
996,GrÃ¤ns,Thriller/Suspense,771930,10,2018
997,The Church,Horror,771645,5,2019
998,Mark Felt: The Man Who Brought Down t…,Thriller/Suspense,768646,9,2017
999,Color Out of Space,Horror,765561,1,2020
1000,Mubarakan,Romantic Comedy,758868,7,2017
1001,Shortcut,Horror,758223,9,2020
1002,Born to Be Blue,Drama,755153,3,2016
1003,JONI 75: A Birthday Celebration,Concert/Performance,752205,2,2019
1004,The Party,Drama,749827,2,2018
1005,How Long Will I Love U,Romantic Comedy,746933,5,2018
1006,On Chesil Beach,Drama,745972,5,2018
1007,Saturdayâs Warrior,Musical,744046,4,2016
1008,I Belonged to You,Romantic Comedy,743507,9,2016
1009,David Crosby: Remember My Name,Documentary,732515,7,2019
1010,Vox Lux,Musical,727119,12,2018
1011,Walk with me,Documentary,726593,7,2017
1012,May it Last: A Portrait of the Avett …,Documentary,725286,9,2017
1013,The Catcher Was A Spy,Drama,725223,6,2018
1014,Bennettâs War,Drama,725042,8,2019
1015,Bi Bei Shang Geng Bei Shang De Gu Shi,Drama,722669,3,2019
1016,Baaghi 3,Action,721439,3,2020
1017,Beoning,Thriller/Suspense,719772,10,2018
1018,The Little Stranger,Drama,713143,8,2018
1019,Xi You Ji zhi Sun Wu Kong San Da Bai …,Action,709982,2,2016
1020,Toilet: Ek Prem Katha,Comedy,709420,8,2017
1021,The Exception,Drama,708972,6,2017
1022,Zhongguo jizhang,Drama,706572,10,2019
1023,Zhuo yao ji 2,Adventure,706153,2,2018
1024,Blaze,Drama,704955,8,2018
1025,Doubles vies,Comedy,704919,5,2019
1026,Whereâs My Roy Cohn?,Documentary,704780,9,2019
1027,Depeche Mode: SPIRITS in the Forest,Concert/Performance,704744,11,2019
1028,Little Men,Drama,702537,8,2016
1029,Boundaries,Drama,701828,6,2018
1030,Chaar Sahibzaade 2: Rise of Banda Sin…,Adventure,700723,11,2016
1031,El Chicano,Drama,700261,5,2019
1032,Raise Hell: The Life and Times of Mol…,Documentary,694410,8,2019
1033,Paris pieds nus,Drama,691597,6,2017
1034,Possessor,Thriller/Suspense,687042,10,2020
1035,The Devotion of Suspect X,Thriller/Suspense,686435,3,2017
1036,Mr. Church,Drama,685780,9,2016
1037,Nada a Perder,Drama,679531,5,2018
1038,Yi Chu Hao Xi,Comedy,670883,8,2018
1039,American Honey,Drama,663247,9,2016
1040,Wilson,Comedy,653951,3,2017
1041,The Grizzlies,Drama,650565,4,2019
1042,El JeremÃ­as,Comedy,647701,10,2016
1043,Lizzie,Drama,642157,9,2018
1044,The Last Shift,Comedy,634934,9,2020
1045,"Love, Gilda",Documentary,626318,9,2018
1046,The Only Living Boy in New York,Drama,624332,8,2017
1047,Nancy Drew and the Hidden Staircase,Drama,623088,3,2019
1048,Itzhak,Documentary,618626,3,2018
1049,Foxtrot,Drama,617972,3,2018
1050,The Bronze,Black Comedy,615816,3,2016
1051,Miles Davis: Birth of the Cool,Documentary,614201,8,2019
1052,Tickled,Documentary,613956,6,2016
1053,City of Gold,Documentary,608799,3,2016
1054,Chhapaak,Drama,604334,1,2020
1055,Sage femme,Thriller/Suspense,603582,7,2017
1056,The Chaperone,Drama,600654,3,2019
1057,Roger Waters Us + Them,Documentary,594982,10,2019
1058,"Lo And Behold, Reveries Of The Connec…",Documentary,594912,8,2016
1059,Hai Phuong,Action,594788,3,2019
1060,Bethany Hamilton: Unstoppable,Documentary,590671,7,2019
1061,JÃ¬yÃ¬ dÃ shÄ«,Thriller/Suspense,587470,4,2017
1062,Wazir,Thriller/Suspense,586028,1,2016
1063,Gleason,Documentary,585233,7,2016
1064,Master,Action,584298,1,2017
1065,Panga,Drama,582720,1,2020
1066,Novitiate,Drama,580346,10,2017
1067,Pick of the Litter,Documentary,578717,8,2018
1068,Range 15,Comedy,575258,6,2016
1069,The Public,Drama,573503,4,2019
1070,A Tale of Love and Darkness,Drama,572212,8,2016
1071,Tommyâs Honour,Drama,569306,4,2017
1072,Tunnel,Action,568876,8,2016
1073,Knight of Cups,Drama,566006,3,2016
1074,Nelyubov,Drama,564073,2,2018
1075,Harry & Snowman,Documentary,562159,9,2016
1076,Cold War 2,Action,560824,7,2016
1077,Bitter Harvest,Drama,557241,2,2017
1078,Dolores,Documentary,555309,9,2017
1079,The Sky is Pink,Drama,555030,10,2019
1080,Huang Qiang Zou Ban,Comedy,551196,11,2018
1081,Fiddler: A Miracle of Miracles,Documentary,549385,8,2019
1082,Everybodyâs Everything,Documentary,547207,11,2019
1083,Anthropocene: The Human Epoch,Documentary,546722,9,2018
1084,Anna and the Apocalypse,Musical,545597,11,2018
1085,American Pastoral,Drama,544098,10,2016
1086,The Age of Shadows,Action,540268,9,2016
1087,Followed,Horror,538179,6,2020
1088,Dabangg 3,Action,535000,12,2019
1089,Grateful Dead Meet-Up at the Movies 2019,Documentary,534611,8,2019
1090,Kajillionaire,Drama,531430,9,2020
1091,Fitoor,Drama,528799,2,2016
1092,Human Flow,Documentary,527845,10,2017
1093,The First Monday in May,Documentary,527474,4,2016
1094,"Uchiage Hanabi, Shita Kara Miru ka? Y…",Drama,525280,7,2018
1095,Jing Zhou,Action,521396,5,2019
1096,Di Qiu Zui Hou De Ye Wang,Drama,521365,4,2019
1097,The Spy Behind Home Plate,Documentary,519525,5,2019
1098,Wild Nights With Emily,Comedy,519487,4,2019
1099,GekijÃ´ban Fairy Tail: Dragon Cry,Action,519461,8,2017
1100,Alone,Thriller/Suspense,516141,9,2020
1101,Brigsby Bear,Comedy,515765,7,2017
1102,Raw,Horror,514870,3,2017
1103,The Big Ugly,Action,514107,7,2020
1104,Shubh Mangal Saavdhan,Romantic Comedy,511875,9,2017
1105,Unsullied,Thriller/Suspense,510957,4,2016
1106,PÃ¡jaros de verano,Drama,507259,2,2019
1107,Manmarziyaan,Drama,506548,9,2018
1108,Tel Aviv on Fire,Romantic Comedy,504443,7,2019
1109,Monsters and Men,Drama,500101,9,2018
1110,Gongjak,Drama,497755,8,2018
1111,Marguerite,Drama,497323,3,2016
