,Title,Genre,DomesticBox_Office,Month,Year
125,A Wrinkle in Time,Adventure,100478608,3,2018
126,Fifty Shades Freed,Drama,100407760,2,2018
127,Kingsman: The Golden Circle,Action,100234838,9,2017
128,Passengers,Thriller/Suspense,100014699,12,2016
129,Christopher Robin,Adventure,99215042,8,2018
130,Sausage Party,Comedy,97670358,8,2016
131,The Addams Family,Adventure,97185807,10,2019
132,Downton Abbey,Drama,96853865,9,2019
133,Rocketman,Drama,96368160,5,2019
134,The Magnificent Seven,Western,93432655,9,2016
135,Blade Runner 2049,Thriller/Suspense,92054159,10,2017
136,John Wick: Chapter Two,Action,92029184,2,2017
137,Ride Along 2,Comedy,90862685,1,2016
138,Donât Breathe,Horror,89217875,8,2016
139,Miss Peregrineâs Home for Peculiar …,Adventure,87242834,9,2016
140,The Accountant,Thriller/Suspense,86260045,10,2016
141,The Emoji Movie,Adventure,86089513,7,2017
142,Alita: Battle Angel,Action,85710210,2,2019
143,Power Rangers,Action,85364450,3,2017
144,Green Book,Comedy,85080171,11,2018
145,Ferdinand,Adventure,84410380,12,2017
146,Birds of Prey (And the Fantabulous Em…,Action,84158461,2,2020
147,I Can Only Imagine,Drama,83482352,3,2018
148,Smallfoot,Adventure,83240103,9,2018
149,Good Boys,Comedy,83140306,8,2019
150,Teenage Mutant Ninja Turtles: Out of …,Adventure,82051601,6,2016
151,The Post,Drama,81903458,12,2017
152,The Mummy,Adventure,80101125,6,2017
153,Men in Black: International,Adventure,80001807,6,2019
154,The Purge: Election Year,Horror,79042440,7,2016
155,Night School,Comedy,77339130,9,2018
156,Dolittle,Adventure,77047065,1,2020
157,Alice Through the Looking Glass,Adventure,77042381,5,2016
158,Peteâs Dragon,Adventure,76233151,8,2016
159,The Hitmanâs Bodyguard,Action,75468583,8,2017
160,The Girl on the Train,Thriller/Suspense,75395035,10,2016
161,Alien: Covenant,Horror,74262031,5,2017
162,Annabelle Comes Home,Horror,74152591,6,2019
163,Captain Underpants: The First Epic Movie,Adventure,73921000,6,2017
164,Yesterday,Romantic Comedy,73286650,6,2019
165,Tyler Perryâs A Madea Family Funeral,Comedy,73257045,3,2019
166,Tyler Perryâs Boo! A Madea Halloween,Comedy,73206343,10,2016
167,Zombieland: Double Tap,Comedy,73118130,10,2019
168,Storks,Adventure,72679278,9,2016
169,A Bad Moms Christmas,Comedy,72110659,11,2017
170,10 Cloverfield Lane,Thriller/Suspense,72082999,3,2016
171,The First Purge,Horror,69488745,7,2018
172,Game Night,Comedy,69179066,2,2018
173,Angel Has Fallen,Thriller/Suspense,69030436,8,2019
174,Scary Stories to Tell in the Dark,Horror,68947075,8,2019
175,Book Club,Comedy,68566296,5,2018
176,The House with a Clock in its Walls,Comedy,68549695,9,2018
177,Skyscraper,Action,68420120,7,2018
178,Insidious: The Last Key,Horror,67745330,1,2018
179,Instant Family,Comedy,67363237,11,2018
180,Lights Out,Horror,67268835,7,2016
181,Hacksaw Ridge,Drama,67209615,11,2016
182,Spies in Disguise,Adventure,66757013,12,2019
183,The Divergent Series: Allegiant,Action,66184051,3,2016
184,Dark Phoenix,Action,65845974,6,2019
185,Now You See Me 2,Thriller/Suspense,65075540,6,2016
186,The Invisible Man,Horror,64914050,2,2020
187,A Dogâs Purpose,Drama,64321890,1,2017
188,Ice Age: Collision Course,Adventure,64063008,7,2016
189,The Shape of Water,Drama,63859435,12,2017
190,The Boss,Comedy,63077560,4,2016
191,London Has Fallen,Thriller/Suspense,62524260,3,2016
192,The Call of the Wild,Adventure,62342368,2,2020
193,Terminator: Dark Fate,Action,62253077,11,2019
194,Miracles from Heaven,Drama,61705123,3,2016
195,A Beautiful Day in the Neighborhood,Drama,61696436,11,2019
196,Onward,Adventure,61555145,3,2020
197,Deepwater Horizon,Thriller/Suspense,61433527,9,2016
198,Abominable,Adventure,60716390,9,2019
199,Dora and the Lost City of Gold,Adventure,60477943,8,2019
200,Why Him?,Comedy,60323786,12,2016
201,Blockers,Comedy,60311495,4,2018
202,Pacific Rim: Uprising,Action,59874525,3,2018
203,My Big Fat Greek Wedding 2,Comedy,59689605,3,2016
204,The Lego Ninjago Movie,Adventure,59281555,9,2017
205,Jack Reacher: Never Go Back,Action,58697076,10,2016
206,Tomb Raider,Action,58250803,3,2018
207,Baywatch,Comedy,58060186,5,2017
208,Maze Runner: The Death Cure,Thriller/Suspense,58032443,1,2018
209,Fences,Drama,57682904,12,2016
210,The Shack,Drama,57386418,3,2017
211,Escape Room,Horror,57000756,1,2019
212,Midway,Action,56846802,11,2019
213,Darkest Hour,Drama,56443120,11,2017
214,Me Before You,Drama,56245075,6,2016
215,Happy Death Day,Horror,55683845,10,2017
216,The BFG,Adventure,55483770,7,2016
217,Neighbors 2: Sorority Rising,Comedy,55340730,5,2016
218,The Shallows,Drama,55121623,6,2016
219,The Nutcracker and the Four Realms,Adventure,54858851,11,2018
220,Office Christmas Party,Comedy,54767494,12,2016
221,The Curse of La Llorona,Horror,54733739,4,2019
222,Tag,Comedy,54730625,6,2018
223,Pet Sematary,Horror,54724696,4,2019
224,Assassinâs Creed,Action,54647948,12,2016
225,What Men Want,Comedy,54611903,2,2019
226,"Three Billboards Outside Ebbing, Miss…",Black Comedy,54513740,11,2017
227,Barbershop: The Next Cut,Comedy,54030051,4,2016
228,A Simple Favor,Thriller/Suspense,53548586,9,2018
229,Gisaengchung,Black Comedy,53369745,10,2019
230,Life of the Party,Comedy,53059911,5,2018
231,13 Hours: The Secret Soldiers of Beng…,Thriller/Suspense,52853219,1,2016
232,Lion,Drama,51739495,11,2016
233,Atomic Blonde,Thriller/Suspense,51573925,7,2017
234,American Made,Thriller/Suspense,51342000,9,2017
235,The Predator,Action,51024708,9,2018
236,The Dark Tower,Western,50701325,8,2017
237,Tenet,Action,50600000,9,2020
238,Overboard,Romantic Comedy,50316123,5,2018
239,Ad Astra,Thriller/Suspense,50188370,9,2019
240,Sicario: Day of the Soldado,Action,50065850,6,2018
241,Uncut Gems,Thriller/Suspense,50023780,12,2019
242,BlacKkKlansman,Thriller/Suspense,49275340,8,2018
243,Lady Bird,Drama,48958273,11,2017
244,I Feel Pretty,Comedy,48795601,4,2018
245,Isnât it Romantic,Romantic Comedy,48791187,2,2019
246,Gemini Man,Action,48546770,10,2019
247,Kubo and the Two Strings,Adventure,48023088,8,2016
248,The Huntsman: Winterâs War,Action,48003015,4,2016
249,Vice,Black Comedy,47836282,12,2018
250,Manchester by the Sea,Drama,47695371,11,2016
251,Warcraft,Action,47365290,6,2016
252,Tyler Perryâs Boo 2! A Madea Halloween,Comedy,47319572,10,2017
253,Red Sparrow,Thriller/Suspense,46874505,3,2018
254,How to be Single,Romantic Comedy,46843513,2,2016
255,Breaking In,Thriller/Suspense,46840590,5,2018
256,Goosebumps 2: Haunted Halloween,Horror,46697321,10,2018
257,Mike and Dave Need Wedding Dates,Comedy,46009673,7,2016
258,MA,Horror,45896028,5,2019
259,Snatched,Comedy,45852178,5,2017
260,12 Strong,Drama,45819713,1,2018
261,Five Feet Apart,Drama,45729221,3,2019
262,Wonder Park,Adventure,45216793,3,2019
263,The Great Wall,Action,45157105,2,2017
264,Smurfs: The Lost Village,Adventure,45020282,4,2017
265,Going in Style,Comedy,45018541,4,2017
266,Den of Thieves,Action,44947622,1,2018
267,First Man,Drama,44936545,10,2018
268,All Eyez on Me,Drama,44922302,6,2017
269,xXx: Return of Xander Cage,Action,44898413,1,2017
270,Rambo: Last Blood,Action,44819352,9,2019
271,Playing with Fire,Comedy,44451847,11,2019
272,47 Meters Down,Horror,44307193,6,2017
273,Hereditary,Horror,44069456,6,2018
274,Queen & Slim,Drama,43808310,11,2019
275,Acrimony,Thriller/Suspense,43549096,3,2018
276,Sherlock Gnomes,Adventure,43242871,3,2018
277,Harriet,Drama,43082155,11,2019
278,War Dogs,Comedy,43034523,8,2016
279,The Big Sick,Romantic Comedy,42872467,6,2017
280,Uncle Drew,Comedy,42469946,6,2018
281,Widows,Thriller/Suspense,42402632,11,2018
282,Almost Christmas,Drama,42065185,11,2016
283,A Dogâs Way Home,Drama,41952715,1,2019
284,The Angry Birds Movie 2,Adventure,41657076,8,2019
285,Truth or Dare,Thriller/Suspense,41411015,4,2018
286,Money Monster,Thriller/Suspense,41012075,5,2016
287,Paddington 2,Adventure,40891591,1,2018
288,Little,Comedy,40860481,4,2019
289,The Star,Adventure,40847995,11,2017
290,"Love, Simon",Drama,40826341,3,2018
291,Breakthrough,Drama,40713082,4,2019
292,Ghost in the Shell,Action,40563557,3,2017
293,Valerian and the City of a Thousand P…,Adventure,40479370,7,2017
294,Allied,Drama,40098064,11,2016
295,Second Act,Comedy,39282227,12,2018
296,King Arthur: Legend of the Sword,Adventure,39175066,5,2017
297,Crawl,Horror,39014193,7,2019
298,Nerve,Thriller/Suspense,38583626,7,2016
299,Jigsaw,Horror,38052832,10,2017
300,Risen,Drama,36880033,2,2016
301,The Gentlemen,Action,36471796,1,2020
302,The Commuter,Action,36343858,1,2018
303,The 15:17 to Paris,Drama,36276286,2,2018
304,The Nice Guys,Black Comedy,36261763,5,2016
305,American Assassin,Thriller/Suspense,36249674,9,2017
306,Mile 22,Action,36108758,8,2018
307,Just Mercy,Drama,36001502,12,2019
308,Alpha,Adventure,35851379,8,2018
309,The Boy,Horror,35819556,1,2016
310,Dirty Grandpa,Comedy,35593113,1,2016
311,Peppermint,Action,35418723,9,2018
312,The Hustle,Comedy,35417038,5,2019
313,The Intruder,Thriller/Suspense,35388976,5,2019
314,Last Christmas,Romantic Comedy,35150750,11,2019
315,Ouija: Origin of Evil,Horror,35144505,10,2016
316,The 5th Wave,Action,34912982,1,2016
317,Overcomer,Drama,34700142,8,2019
318,The Foreigner,Action,34393507,10,2017
319,The Favourite,Black Comedy,34366783,11,2018
320,Inferno,Thriller/Suspense,34343574,10,2016
321,"Everything, Everything",Drama,34121140,5,2017
322,Death Wish,Action,34017028,3,2018
323,Wind River,Thriller/Suspense,33800859,8,2017
324,Geostorm,Action,33700160,10,2017
325,The Spy Who Dumped Me,Comedy,33562069,8,2018
326,Jojo Rabbit,Black Comedy,33370906,10,2019
327,Monster Trucks,Adventure,33370166,1,2017
328,Annihilation,Thriller/Suspense,32732301,2,2018
329,Motherâs Day,Romantic Comedy,32492859,4,2016
330,Fist Fight,Comedy,32187017,2,2017
331,How to Be a Latin Lover,Comedy,32149404,4,2017
332,Cold Pursuit,Thriller/Suspense,32138862,2,2019
333,Isle of Dogs,Comedy,32015231,3,2018
334,Patriots Day,Thriller/Suspense,31886361,12,2016
335,Bombshell,Drama,31762808,12,2019
336,Nobodyâs Fool,Drama,31713110,11,2018
337,Doctor Sleep,Horror,31581712,11,2019
338,Adrift,Drama,31445011,6,2018
339,Gods of Egypt,Adventure,31153464,2,2016
340,Collateral Beauty,Drama,31016021,12,2016
341,Robin Hood,Action,30824628,11,2018
342,Kidnap,Thriller/Suspense,30718107,8,2017
343,Super Troopers 2,Comedy,30617396,4,2018
344,Holmes & Watson,Comedy,30568743,12,2018
345,Slender Man,Horror,30564825,8,2018
346,Dragon Ball Super: Broly,Action,30376755,1,2019
347,Underworld: Blood Wars,Action,30353973,1,2017
348,The Mountain Between Us,Thriller/Suspense,30348555,10,2017
349,Long Shot,Romantic Comedy,30316271,5,2019
350,Life,Thriller/Suspense,30234022,3,2017
351,"Hail, Caesar!",Comedy,30080225,2,2016
352,"I, Tonya",Black Comedy,30014534,12,2017
353,Hostiles,Western,29819114,12,2017
354,Teen Titans Go! To The Movies,Adventure,29790236,7,2018
355,When the Bough Breaks,Thriller/Suspense,29747603,9,2016
356,The Hate U Give,Drama,29719483,10,2018
357,Childâs Play,Horror,29208403,6,2019
358,Zoolander 2,Comedy,28848693,2,2016
359,Mollyâs Game,Drama,28780744,12,2017
360,Ready or Not,Black Comedy,28714231,8,2019
361,21 Bridges,Thriller/Suspense,28539757,11,2019
362,The Nut Job 2: Nutty by Nature,Adventure,28370522,8,2017
363,Happy Death Day 2U,Thriller/Suspense,28148130,2,2019
364,Moonlight,Drama,27854931,10,2016
365,Rings,Horror,27793018,2,2017
366,Logan Lucky,Comedy,27778642,8,2017
367,The Finest Hours,Thriller/Suspense,27569558,1,2016
368,Midsommar,Horror,27426363,7,2019
369,Florence Foster Jenkins,Drama,27383770,8,2016
370,Cats,Musical,27166770,12,2019
371,Home Again,Romantic Comedy,27020284,9,2017
372,Hell or High Water,Western,27007844,8,2016
373,Resident Evil: The Final Chapter,Horror,26844692,1,2017
374,The Forest,Thriller/Suspense,26594261,1,2016
375,Fantasy Island,Horror,26441782,2,2020
376,Ben-Hur,Drama,26410477,8,2016
377,The Art of Racing in the Rain,Drama,26402818,8,2019
378,Searching,Thriller/Suspense,26015149,8,2018
379,Countdown,Horror,25621766,10,2019
380,The House,Comedy,25584504,6,2017
381,The Witch,Horror,25138705,2,2016
382,All the Money in the World,Thriller/Suspense,25106325,12,2017
383,Winchester,Horror,25091816,2,2018
384,Gifted,Drama,24801212,4,2017
385,On the Basis of Sex,Drama,24704837,12,2018
386,Downsizing,Comedy,24449754,12,2017
387,The Strangers: Prey at Night,Horror,24431472,3,2018
388,Judy,Drama,24319961,9,2019
389,Bridget Jonesâs Baby,Romantic Comedy,24139805,9,2016
390,White Boy Rick,Drama,24004833,9,2018
391,Kevin Hart: What Now?,Concert/Performance,23591043,10,2016
392,Whiskey Tango Foxtrot,Comedy,23083334,3,2016
393,Fighting With My Family,Comedy,22958583,2,2019
394,The New Mutants,Horror,22949714,8,2020
395,Wonât You Be My Neighbor?,Documentary,22835787,6,2018
396,A Dogâs Journey,Drama,22782371,5,2019
397,Booksmart,Comedy,22680962,5,2019
398,The Bye Bye Man,Thriller/Suspense,22395806,1,2017
399,Stuber,Comedy,22370452,7,2019
400,Richard Jewell,Drama,22345542,12,2019
401,47 Meters Down: Uncaged,Thriller/Suspense,22260900,8,2019
402,Victoria and Abdul,Drama,22245070,9,2017
403,Like a Boss,Comedy,22169514,1,2020
404,Rough Night,Black Comedy,22105643,6,2017
405,Black and Blue,Action,22012729,10,2019
406,Hellboy,Horror,21903748,4,2019
407,My Little Pony: The Movie,Adventure,21885107,10,2017
408,Ballerina,Adventure,21858070,8,2017
409,Overlord,Action,21704844,11,2018
410,Snowden,Drama,21587519,9,2016
411,Shaft,Comedy,21360215,6,2019
412,Mechanic: Resurrection,Action,21218403,8,2016
413,The Grudge,Horror,21216148,1,2020
414,Phantom Thread,Drama,21198205,12,2017
415,The Disaster Artist,Comedy,21120616,12,2017
416,Proud Mary,Action,20868638,1,2018
417,Free State of Jones,Drama,20810036,6,2016
418,Sleepless,Thriller/Suspense,20783704,1,2017
419,Blair Witch,Horror,20777061,9,2016
420,Godâs Not Dead 2,Drama,20773069,4,2016
421,Diary of a Wimpy Kid: The Long Haul,Adventure,20738724,5,2017
422,The Happytime Murders,Black Comedy,20706452,8,2018
423,Keanu,Comedy,20591853,4,2016
424,The Photograph,Drama,20578185,2,2020
425,Superfly,Action,20537137,6,2018
426,The Circle,Thriller/Suspense,20497844,4,2017
427,The Peanut Butter Falcon,Adventure,20457158,8,2019
428,Unhinged,Thriller/Suspense,20173049,8,2020
429,UglyDolls,Adventure,20150241,5,2019
430,Middle School: The Worst Years of My …,Adventure,20007149,10,2016
431,Nine Lives,Adventure,19700032,8,2016
432,Race,Drama,19115191,2,2016
433,Unplanned,Drama,19005109,3,2019
434,Baahubali 2: The Conclusion,Action,18985794,4,2017
435,The Choice,Drama,18730891,2,2016
436,Eye in the Sky,Thriller/Suspense,18704596,3,2016
437,CHiPS,Action,18600152,3,2017
438,Only the Brave,Drama,18340051,10,2017
439,Call Me by Your Name,Drama,18065180,11,2017
440,They Shall Not Grow Old,Documentary,17956913,12,2018
441,Bad Times at the El Royale,Thriller/Suspense,17839115,10,2018
442,Charlieâs Angels,Action,17801306,11,2019
443,mother!,Thriller/Suspense,17800004,9,2017
444,Bad Santa 2,Comedy,17782176,11,2016
445,Show Dogs,Comedy,17744685,5,2018
446,The Farewell,Drama,17700478,7,2019
447,Operation Finale,Drama,17612099,8,2018
448,"Paul, Apostle of Christ",Drama,17547999,3,2018
449,Free Solo,Documentary,17541090,9,2018
450,Father Figures,Comedy,17501244,12,2017
451,Sorry to Bother You,Comedy,17493096,7,2018
452,The Zookeeperâs Wife,Drama,17445186,3,2017
453,Chappaquiddick,Thriller/Suspense,17395521,4,2018
454,Masterminds,Comedy,17356894,9,2016
455,Underwater,Thriller/Suspense,17291078,1,2020
456,The Glass Castle,Drama,17273059,8,2017
457,BrightBurn,Horror,17259427,5,2019
458,The Good Liar,Thriller/Suspense,17156058,11,2019
459,Norm of the North,Adventure,17062499,1,2016
460,Flatliners,Thriller/Suspense,16883115,9,2017
